id,created_at,text,media_url
845806377008332800,2017-03-26 01:15:29,Got it done tonight against Villanova. We'll conclude our road trip tomorrow at 3:30 p.m. at Marist #GoBU https://t.co/U0mgUkhbH6,http://pbs.twimg.com/media/C7zoZHPVAAE8Zlj.jpg
845780881579094020,2017-03-25 23:34:10,"RT @TerrierHockey: Just like yesterday, it’s a 1-1 game after two. #BUinND #GoBU https://t.co/0tShJ82cnr",http://pbs.twimg.com/media/C7zQ5P0VUAElx2D.jpg
845780827397083136,2017-03-25 23:33:57,When you take the laptop into Panera cause you can't miss a minute of @TerrierHockey let's go BU! https://t.co/BI4Z5AkRz9,http://pbs.twimg.com/media/C7zRK3rUwAEnw76.jpg
845775412726824960,2017-03-25 23:12:26,Satyajit Simhadri closes out our 5-2 win over Villanova with a 4-6 6-4 6-3 victory! https://t.co/oRRND06Ix0,http://pbs.twimg.com/ext_tw_video_thumb/845775331923390464/pu/img/NKPKfl8WH4E8vFrA.jpg
845774399445913601,2017-03-25 23:08:25,Freshman Marc Sable clinches BU's win over Villanova with a 6-3 4-6 6-2 victory! #GoBU https://t.co/7MkENVciCx,http://pbs.twimg.com/ext_tw_video_thumb/845774274799415296/pu/img/G2aP1VRaZuypXnLN.jpg
845668017048571904,2017-03-25 16:05:41,Big bus. Small team. Headed to Connecticut to face Villanova in a neutral site match at 4 p.m. #GoBU https://t.co/HYpoYpXUQr,http://pbs.twimg.com/media/C7xqkS_VUAE-WQO.jpg
845432212392726532,2017-03-25 00:28:41,RT @TerrierHockey: What a win. What a feeling. #BUinND #GoBU https://t.co/D6s4Q7XPcn,http://pbs.twimg.com/ext_tw_video_thumb/845421475188289536/pu/img/1xjHSYTNgfNyEW0A.jpg
845419081171947521,2017-03-24 23:36:30,"RT @TerrierHockey: TERRIER NATION, CHARLIE McAVOY IS YOUR HERO!! https://t.co/o1Sv0VDYbE",http://pbs.twimg.com/tweet_video_thumb/C7uGBnUUwAEI7wW.jpg
844718948012707841,2017-03-23 01:14:25,TWO weeks away from #BUGivingDay! Learn how to make your impact on BU Tennis at https://t.co/XEUGDjamrZ. #GoBU https://t.co/aGSs8QjPK3,http://pbs.twimg.com/media/C7kLZrWWkAAeFLm.jpg
844304488102006784,2017-03-21 21:47:31,Congrats to senior Lucas Bombonatti on earning his THIRD Player of the Week honor of the season! #GoBU https://t.co/EkM0dLzvGv,http://pbs.twimg.com/media/C7eSc7iWkAQXD9n.jpg
843604425444921344,2017-03-19 23:25:43,"Last match at the TTC for our 5 seniors, and they made the most of it, earning 6 of our 9 wins today #ProudToBU https://t.co/iQwKgVe4OF",http://pbs.twimg.com/media/C7UVwBcVwAAbEj6.jpg
843596379943567364,2017-03-19 22:53:44,Our 5 seniors cut the cake after our 7-0 win on Senior Day #ProudToBU https://t.co/QQKjHUISjP,http://pbs.twimg.com/media/C7UObpfWkAAZc5r.jpg
843497645352062976,2017-03-19 16:21:24,RT @TerrierHockey: In the NCAAs for the third straight year… going to be quite the atmosphere in Fargo! #GoBU https://t.co/i5r3vGVNlF,http://pbs.twimg.com/media/C7SwEjFX4AEPt1o.jpg
843446864070541313,2017-03-19 12:59:37,Match day. Senior Day. Last home match of the spring. Plenty of reasons to come support your Terriers today! #GoBU https://t.co/XiFpbjMTmt,http://pbs.twimg.com/media/C7SGcxLXwAAWh3O.jpg
842846555514322947,2017-03-17 21:14:12,SENIOR DAY! Sunday at 3 p.m. Come out to the TTC and celebrate the careers of our 5 great seniors! #GoBU https://t.co/tuyqVvcloC,http://pbs.twimg.com/media/C7Jkd_eXkAAaM-C.jpg
842737935397076992,2017-03-17 14:02:35,Joint 7 am practice with @BostonUSoftball 👌🏻 we think Marc earned his spot @BUAthletics https://t.co/m8yMgtcvxT,http://pbs.twimg.com/ext_tw_video_thumb/842737713870704641/pu/img/aPBaBcQKF8zZHQmq.jpg
841419082142482432,2017-03-13 22:41:56,RT @BUMensLacrosse: Another outstanding effort from our guys today. We’re coming back to Boston 7-0! https://t.co/8kJFpjrLC2,http://pbs.twimg.com/media/C60sk12WgAASB-E.jpg
840755352182374400,2017-03-12 02:44:31,Thank you to Marc Sable and his family for hosting an awesome team barbecue to end our Spring Break in Miami! https://t.co/ZpjtMkBlQP,http://pbs.twimg.com/media/C6r2hz5WYAAap9S.jpg
840561193597227009,2017-03-11 13:53:00,We're at Lynn University ready to wrap up our spring break trip at 10 a.m. against the #8 Fighting Knights #GoBU https://t.co/BgOEKKD14j,http://pbs.twimg.com/media/C6pF8YZWkAAqJ7S.jpg
840291753798250496,2017-03-10 20:02:20,We're at the Neil Schiff Tennis Center at the University of Miami. First serve with the Canes is at 4 p.m. #GoBU! https://t.co/hhZ6HTdtaN,http://pbs.twimg.com/media/C6lQ45qXAAYa-Tt.jpg
840029146017325056,2017-03-10 02:38:50,Team dinner with @buwoten at The Big Pink in Miami! https://t.co/0uFlCm8d0L,http://pbs.twimg.com/media/C6hiC44V0AAlODt.jpg
839579387808841729,2017-03-08 20:51:39,Marc Sable wins 4-6 6-3 10-8 on Court 5! Huge win for our freshman! https://t.co/FgVcTfdiSn,http://pbs.twimg.com/ext_tw_video_thumb/839579325083107329/pu/img/Yl4IjiV7sSwwDayt.jpg
839513913188311040,2017-03-08 16:31:28,"We're at Patch Reef Park in Boca Raton getting set to take on Keiser University, NAIA's 3rd ranked team #GoBU! https://t.co/u1Hl6muEZR",http://pbs.twimg.com/media/C6aNbVvXMAICH8S.jpg
839500892722298880,2017-03-08 15:39:44,#BUGivingDay is back on April 5! Support @TerrierTennis &amp; help us win the day. Learn more at https://t.co/vWdCn0ZiNc https://t.co/S8ubYOUkqK,http://pbs.twimg.com/media/C6aBjWxWQAExwos.jpg
839116697843957760,2017-03-07 14:13:05,When there's a rain delay during practice ☹️ https://t.co/F2BjhB0aBR,http://pbs.twimg.com/media/C6UkLr-WYAIvMwY.jpg
838787484649684992,2017-03-06 16:24:54,Day 2 in Miami! Gearing up for our first match of the trip on Wednesday against NAIA #3 Keiser University. #GoBU https://t.co/cPIzm5pdZ0,http://pbs.twimg.com/media/C6P4wxKVAAAqjib.jpg
838422598656659457,2017-03-05 16:14:59,Great first practice in Miami! We're off to the beach #GoBU https://t.co/KgFEgRRa1S,http://pbs.twimg.com/media/C6Ks2OtXMAAQ_38.jpg
835649976910950402,2017-02-26 00:37:34,"Got the W against Fairfield with wins by Marc, JP, and Mario. We're back at it tomorrow at 4 when we face Harvard! https://t.co/ihDdHeI4eB",http://pbs.twimg.com/media/C5jTM9VXEAMEztZ.jpg
834169635197087744,2017-02-21 22:35:13,"After leading us with a pair of wins over Navy, Lucas has earned his second @PatriotLeague Player of the Week award! https://t.co/nVhcZMkVmh",http://pbs.twimg.com/media/C5OQ3AEWcAAxbyh.jpg
833150879469551620,2017-02-19 03:07:03,BU defeats Navy 5-2 in the first Patriot League battle of the season! #ProudToBU https://t.co/nKnSvngRw2,http://pbs.twimg.com/media/C4_yTg2WcAI2Ag0.jpg
833070152103129089,2017-02-18 21:46:16,BU vs. Navy begins in 15 minutes at the MIT Bubble. Huge early season Patriot League matchup! #GoBU https://t.co/CnHaU2kslb,http://pbs.twimg.com/media/C4-o4FKXAAIDmq5.jpg
832692847576961029,2017-02-17 20:47:00,The Terriers are getting set to take on Boston College! Doubles begins at 4. Turn to @BUGameDay for updates #GoBU! https://t.co/Y59Qknrejs,http://pbs.twimg.com/media/C45RuV-UcAEaimM.jpg
830168840566927360,2017-02-10 21:37:30,We're warming up for our first road match of the season at the MIT Bubble! Check into @BUGameDay for updates #GoBU https://t.co/R4NP6gJoJP,http://pbs.twimg.com/media/C4VaH-qWEAUqSnH.jpg
829811165429690368,2017-02-09 21:56:13,Just some Terriers and a golden retriever. Thanks to JP's dog Tashi for supporting his fellow dogs this week! https://t.co/kUoUxAesUc,http://pbs.twimg.com/media/C4QU1-NW8AATKnw.jpg
829527628386357248,2017-02-09 03:09:33,Great win today to wrap up our five match homestand. We're on to MIT on Friday #GoBU https://t.co/k5q7rYWPol,http://pbs.twimg.com/media/C4MS-quWQAADhDI.jpg
829071793721835521,2017-02-07 20:58:13,We conclude a 5 match homestand tomorrow when we host Bentley &amp; former BU head coach Rick Edelmann to the TTC! #GoBU https://t.co/TbAoklLssx,http://pbs.twimg.com/media/C4F0ZdPWAAAaW_u.jpg
827982691836506113,2017-02-04 20:50:31,Come watch us take on Bryant tomorrow at 11 a.m. before you head over to the @BostonUMBB game at noon! #GoBU https://t.co/mlaRXhps7i,http://pbs.twimg.com/media/C32V3JFWMAIN3ak.jpg
827974378092638208,2017-02-04 20:17:29,RT @BUMensLacrosse: HOMIRE IN OT! WHAT A COMEBACK! https://t.co/lh0jSAdG7s,http://pbs.twimg.com/media/C32NwWyWYAES0DZ.jpg
827227869558431744,2017-02-02 18:51:07,Senior Jake De Vries shared his story at #DearWorld. What's yours? https://t.co/cCHedJrLRZ https://t.co/gXEgZMVUsX,http://pbs.twimg.com/media/C3rmvPfWcAAnnMk.jpg
825399587108184065,2017-01-28 17:46:11,We've got a big non-conference tilt coming up against Quinnipiac! We hope to see you tomorrow at 3 at the TTC! https://t.co/7tus0M31Iy,http://pbs.twimg.com/media/C3Roi3vWEAAqjeK.jpg
824260024235081728,2017-01-25 14:17:58,Congrats to senior Lucas Bombonatti who was named Patriot League Player of the Week after a 3-0 opening weekend! https://t.co/PVz7pbgHOJ,http://pbs.twimg.com/media/C3BcHVAXAAAG_S4.jpg
822475882602369025,2017-01-20 16:08:25,We're excited to kick off the year TOMORROW with a doubleheader! Come out to the TTC at 10 for a full day of tennis! https://t.co/D9BIaE57JV,http://pbs.twimg.com/media/C2oFcVBW8AAJp02.jpg
817549006578413568,2017-01-07 01:50:47,RT @TerrierHockey: A night to remember. #VeryProudToBU https://t.co/EuWNkiJsWR,http://pbs.twimg.com/media/C1dprxXW8AA28af.jpg
812354696467709952,2016-12-23 17:50:27,Happy Holidays to our friends and alumni! You can support our team by making your gift at https://t.co/BdAtnosgHs https://t.co/eRrOcj5bmO,http://pbs.twimg.com/media/C0YQSWoUsAQZx6O.jpg
809170217133867008,2016-12-14 22:56:28,Had a great time this morning @BostonSchools for the @buathletics Annual Holiday Reading! https://t.co/Shfl6OSf2v,http://pbs.twimg.com/media/CzrABQNW8AA7_cc.jpg
808741382374440960,2016-12-13 18:32:25,Miguel did it again! He broke his second weight room record of the week with a 7 mile airdyne time of 17:13! 🚴🏋🏽 https://t.co/S1cjvbXZuk,http://pbs.twimg.com/media/Czk5_zjXgAEy-un.jpg
808149925238341632,2016-12-12 03:22:11,Last team dinner of the fall! Looking forward to recharging this holiday season to come back strong for the spring! https://t.co/lPwZ0DfTRE,http://pbs.twimg.com/media/CzcgEc0W8AEU7QL.jpg
806300880534376448,2016-12-07 00:54:44,Seniors Miguel Cepeda and Jake De Vries squatted 265 pounds to break the BU Tennis record of 260! 🎾🏋🏽#dontskiplegday https://t.co/Sy9UfG3QNA,http://pbs.twimg.com/ext_tw_video_thumb/806300810078457861/pu/img/tPv9FT2RVMVv7dXV.jpg
801833598114480128,2016-11-24 17:03:21,RT @BUAthletics: Thankful for Terrier Nation everyday. Happy Thanksgiving! #GoBU 🦃🍽 https://t.co/STZtUWxFG4,http://pbs.twimg.com/media/CyCCf1VVQAABST5.jpg
801249005401415680,2016-11-23 02:20:24,RT @BUwhockey: Big OT win at Harvard thanks to Bach’s heroics! See you at Wally B Friday when we host Princeton! https://t.co/1hNLwsV7Yp,http://pbs.twimg.com/media/Cx6bHUZXEAEWzdc.jpg
796932459074088960,2016-11-11 04:27:59,RT @BUAthletics: The Terriers took on the #MannequinChallenge at #TerrierMadness tonight https://t.co/BL5Uq4H9bh,http://pbs.twimg.com/ext_tw_video_thumb/796929921939570688/pu/img/43p0vYpOdmSU3E_w.jpg
792112468717862913,2016-10-28 21:15:03,Get your Boston University Tennis apparel right here! Proceeds go directly to the team #GoBU https://t.co/FWvC33cCJm https://t.co/Jsyoax3Tgv,http://pbs.twimg.com/media/Cv4mFf_W8AYQ8mI.jpg
789864603719270400,2016-10-22 16:22:51,"After defeating Niagara yesterday at the ITA Northeast Regional, Lucas Bombonatti takes on Columbia today in Rd. 2! https://t.co/LM06JpwF89",http://pbs.twimg.com/media/CvYpqHIWIAAeaHL.jpg
784837185967165440,2016-10-08 19:25:41,RT @BUWOSOC: BU wins! Great TEAM victory today against Lafayette to make it 4 in a row! #ProudtoBU #BelieveInWe https://t.co/1UqA8bdujP,http://pbs.twimg.com/media/CuRHF5GWYAEcH3c.jpg
784234802245402624,2016-10-07 03:32:01,"Happy birthday to recent graduate and two time Terrier captain Josh Hurd! Hope you had a great day, mate! https://t.co/O5esAztkVD",http://pbs.twimg.com/media/CuIpZFxWEAAdWMU.jpg
782728512687968256,2016-10-02 23:46:34,"Congrats to senior captain Jake De Vries, who was tapped into the Scarlet Key Honor Society yesterday! #ProudToBU https://t.co/C4j8UcQQWI",http://pbs.twimg.com/media/CtzPbWbW8AESzLk.jpg
782390871069163520,2016-10-02 01:24:54,Enjoying the @TerrierHockey home opener @AgganisArena! #GoBU! https://t.co/6D08a9LcGd,http://pbs.twimg.com/media/CtucTXgWYAA4Kx8.jpg
782048600125743105,2016-10-01 02:44:50,RT @TerriersFund: @BUAthletics Coaches in the building. We love supporting our coaches and student-athletes! https://t.co/vify0sDB7i,http://pbs.twimg.com/media/Cto_YyCXYAA9VP3.jpg
777490657376108544,2016-09-18 12:53:12,Senior captains Mario Sandoval and Jake De Vries won two matches yesterday and will play in the semis today at UConn https://t.co/jt9Rj8k8tH,http://pbs.twimg.com/media/Csozn2mWEAUp194.jpg
